pid,zipcodes
10486_2017,"00503, 71884, 66446, 23344, 21166, 02317, 24191, 54833, 52560, 56065"
10487_2017,"60597, 12534, 56162, 87549, 88300, 71669, 12268, 31342, 62077"
10488_2017,05229
10489_2017,"57748, 84533, 48474, 03782, 82045, 46226, 49971, 16247, 36290, 52976"
10490_2017,"38967, 74458, 38650, 93887, 38319"
10491_2017,"17101, 17771, 74594, 85784, 62659, 80442, 33666, 61918"
10492_2017,"03719, 38680, 88006, 47377, 42127, 07025, 50401, 55174, 25008, 65788"
10493_2017,"91922, 39552, 06182, 90783, 56693, 95750, 48481, 71984, 23851"
10494_2017,"41445, 16269"
10495_2017,"37051, 07568, 02673, 29595, 70152, 76133, 49033, 98400"
10496_2017,"50221, 82659"
10497_2017,"68454, 12754, 40290, 73782, 65658, 73340"
10498_2017,"13670, 54998, 41258, 58605, 98396, 92506, 44523, 66476, 78227, 05118"
10499_2017,"06099, 91828, 58925, 07875, 62414, 75528"
10500_2017,"35150, 51459"
10501_2017,"20905, 48576, 79408, 12438, 14840, 02998, 23720, 28661, 96743, 60938"
10502_2017,"78258, 06951, 18425, 36039, 59869, 43038, 26962, 91610, 29262"
10503_2017,"18988, 40676, 14507, 60786, 39896, 10588"
10504_2017,"37074, 10160, 80860, 87658, 28457, 10044"
10505_2017,"42919, 50980, 46481, 77683, 26689"
10506_2017,"24610, 79213, 21352, 05374, 10309, 72821, 64526, 20874"
10507_2017,65162
10508_2017,"82502, 75296"
10509_2017,"97564, 30392, 17866, 96857, 65727, 40885, 55927, 54206"
10510_2017,"83302, 53008, 33992, 60030, 54352, 80507, 82186, 79356"
10511_2017,"61524, 06541, 79051, 06049"
10512_2017,"85217, 97752, 31501, 99293, 01754, 03568, 94860"
10513_2017,"28297, 75366, 74235, 77858, 31530"
10514_2017,"76141, 82773, 39591, 47150, 70524"
10515_2017,"27535, 77530"
10516_2017,"92852, 52858, 96279"
10517_2017,"52191, 69725"
10518_2017,"85019, 69443, 39165, 43137, 02685, 31551, 99554, 42765, 41156, 98458"
10519_2017,"71176, 83715, 36576"
10520_2017,"41527, 81654, 92568, 70468"
10521_2017,"88008, 82245, 41695, 99498"
10522_2017,"36888, 66328, 48431, 23897"
10523_2017,"90458, 96643, 68603, 62229, 55242, 18966, 85499, 25843, 08082, 10080"
10524_2017,"21393, 91545, 35414, 86575"
10525_2017,"76399, 38794, 10012, 33970, 68682, 95634, 29607"
10526_2017,"02581, 32266, 33798, 58085, 02611, 13664, 39599"
10527_2017,"59134, 98253, 48236, 47099"
10528_2017,"03447, 82321, 19654, 39433, 00773, 98881, 51889"
10529_2017,"48335, 47829, 76796, 47839, 56127"
10530_2017,"17245, 41853, 04232, 68310, 81930, 16376, 48410, 58656, 13284, 68162"
10531_2017,"07007, 20638, 45474, 80718, 89728, 58544, 51403, 98624, 83150, 36123"
10532_2017,"88085, 78386, 63660, 66382, 62273"
10533_2017,"25486, 56692, 38220, 58414, 22136, 22927, 35109, 18505, 21704"
10534_2017,"22411, 24093, 92086, 20563, 92232, 82374, 23472, 39177, 77604, 45095"
10535_2017,"56256, 46766, 84843, 28022"
10536_2017,"96287, 90443, 74804"
10537_2017,"03583, 18019, 35680, 01922, 84890, 71761"
10538_2017,"11324, 94325, 39485, 15004, 51679, 13925"
10539_2017,"90694, 12799, 58981, 98429, 92729, 14201, 28178, 99250, 22021"
10540_2017,"17073, 95482, 25182, 87630, 01871, 58835, 66329"
10541_2017,"72308, 14799, 11565, 20353, 55336, 97886, 61384, 53603"
10542_2017,"83927, 23058, 29147, 36453, 67612, 81061, 27840"
10543_2017,"12312, 43983, 22631, 21135, 31653, 93200, 60003"
10544_2017,"29652, 32701, 47445, 55122, 72935, 46623, 16081, 53829, 42581"
10545_2017,"17391, 86387, 57834, 04972, 62762, 80539, 95816, 67721"
10546_2017,"59955, 67220, 94117, 74571, 16721, 76599"
10547_2017,53188
10548_2017,"90855, 54902, 70742, 93485, 70709, 40258, 98791, 48162, 10408, 64471"
10549_2017,"43303, 97086, 16365"
10550_2017,"83584, 75106, 14835, 89176, 66917, 07983, 77346, 30810"
10551_2017,24688
10552_2017,"86959, 86981"
10553_2017,"45564, 41776, 69446, 90503, 43574, 18945, 65383"
10554_2017,"64831, 98682, 16452, 07519, 09439, 65379, 14063, 00546, 24309"
10555_2017,"55361, 73064, 95488, 17379, 98939, 98024, 26209"
10556_2017,"91274, 90457, 29616, 86972, 21121, 48389, 56323, 97911, 84616"
10557_2017,"24400, 61052, 35753, 60489, 95588, 70630, 81118, 72467, 59836"
10558_2017,"86961, 29466, 56726, 52286, 66263, 54413"
10559_2017,"31727, 70965, 38389"
10560_2017,"68412, 37694, 53341, 76422, 58812, 19812, 56956, 70518"
10561_2017,"79840, 29739, 87382, 17660, 37861, 10730, 14948, 50156"
10562_2017,"11316, 29479, 27548, 72705, 51040, 57568, 93598, 77975"
10563_2017,90271
10564_2017,"66910, 03273, 06674, 64861, 38500"
10565_2017,"93855, 43240, 57308, 62592, 99852, 49935, 81790, 00603, 20643, 66717"
10566_2017,"14863, 07855, 21050, 98328, 58013, 73985, 97381, 12293, 51357"
10567_2017,16545
10568_2017,40222
10569_2017,"96806, 32569, 13838, 55604, 07574, 76518"
10570_2017,"62806, 72621, 82658, 92973, 29417, 41105, 56075, 80042"
10571_2017,"13682, 97298, 54814, 93983, 29484, 53810, 67200"
10572_2017,"92686, 59976"
10573_2017,"98898, 09372, 17001, 93425, 07024, 92506, 77533, 76668"
10574_2017,"22615, 01026"
10575_2017,"80587, 30299, 65948, 15585, 81270"
10576_2017,"92133, 85164, 11389, 74709, 37437, 84469, 41060"
10577_2017,"45497, 80670, 14724, 91704, 18110, 32932, 89630, 97797, 46746, 86016"
10578_2017,"44460, 03815, 28036, 15539, 08278, 93632, 20305, 75505, 37620"
10579_2017,"79038, 13389, 55207, 06096, 84818, 92744, 98130, 44801, 51866, 21651"
10580_2017,"82829, 51381"
10581_2017,"50232, 10322, 55606, 37266, 62091, 61235, 46578, 49864"
10582_2017,"20990, 19581, 35190, 31305, 44348, 34423, 55560, 97901"
10583_2017,"38171, 29084, 95214, 18246, 02033, 74131, 20136, 44291, 21174"
10584_2017,27042
10585_2017,"83761, 05983, 50314, 42782, 68775"
10586_2017,"27386, 83473, 19630, 78994, 19935, 31812, 37001, 19457, 11526"
10587_2017,"30462, 47674, 68730, 91210, 94667, 04527, 79955"
10588_2017,"35519, 60384, 92176, 64081, 23417, 18267, 03678"
10589_2017,"99554, 39365, 62591, 47856, 65583, 73800, 29845"
10590_2017,"88856, 45629, 15811, 70589, 85236"
10591_2017,"09283, 52740, 15458, 01019, 11848, 33975"
10592_2017,"48448, 81301, 69085, 99622"
10593_2017,"43043, 12122, 24515, 53139, 81377, 63899, 62049, 64159, 27007, 45926"
10594_2017,"78828, 36666, 66127, 40925, 04648, 04017, 57075, 67642, 51344, 06262"
10595_2017,"58123, 29660, 92429, 49501, 02383, 32935, 10357"
10596_2017,17525
10597_2017,"16877, 89308, 59043, 58870, 26836, 02316, 42832, 05677"
10598_2017,34015
10599_2017,"19332, 95037, 58224"
10600_2017,"83570, 75368, 17738, 82352, 35273"
10601_2017,50949
10602_2017,"49612, 91120, 91743, 50889, 30921, 71045, 04563, 95763"
10603_2017,"93015, 84350, 72907, 75969"
10604_2017,"60654, 74314, 88847, 86018, 33137, 21108, 16937, 71966, 96070"
10605_2017,"40644, 87863, 77430, 82515, 63487, 55553, 70145"
10606_2017,"62653, 81988, 93220"
10607_2017,"31853, 18962, 84432, 25993, 50319, 63583"
10608_2017,"25751, 87107, 63232, 54909, 28541, 70322, 21698, 64925"
10609_2017,"32484, 81966, 30784, 09091, 71307, 70988, 82273"
10610_2017,"52154, 83541, 89371, 79496"
10611_2017,"50560, 55571, 04600, 05041, 26217, 36537, 12188, 26881, 22791"
10612_2017,"38836, 10730, 35161, 46962, 83086"
10613_2017,"92537, 73080, 37704, 41606, 29113, 75390, 79805, 68059, 13050"
10614_2017,"07812, 71699, 62115, 66390, 33036, 23128, 91529, 51065"
10615_2017,"84260, 71997, 30116, 34229, 50324"
10616_2017,"46657, 60728, 04468, 85417, 06983, 79747, 63561, 54729"
10617_2017,"01147, 23689, 13706, 45316, 34950, 23815, 45839, 14770, 82379"
10618_2017,"31736, 88156, 62731, 72661, 79394"
10619_2017,"28342, 31639"
10620_2017,21015
10621_2017,"15797, 79703, 29409, 83071, 57629"
10622_2017,"17708, 20581, 69013, 59274, 73033, 00515, 08328, 11556"
10623_2017,"69090, 12001, 79512, 85229, 23839"
10624_2017,"89672, 15314, 11003, 29943, 98614, 99216"
10625_2017,44994
10626_2017,"55770, 87874, 61980, 83279, 72394, 98169, 08164, 28067"
10627_2017,"66841, 17890, 46079, 20846, 50761, 73677, 42349"
10628_2017,"91125, 55704, 79828, 88919, 53393, 66924, 52093, 54214, 29773"
10629_2017,"92646, 38006, 98154, 65799"
10630_2017,"53532, 01390, 68204, 19486, 90333, 52485"
10631_2017,"50033, 06580, 61752, 24091, 10435, 55786"
10632_2017,"30583, 51864, 25032"
10633_2017,"65785, 82536, 90204, 44687, 79839, 51003, 81274, 09173"
10634_2017,"75657, 48639, 35943, 93164, 76035, 50697, 75918, 92714, 75405, 99063"
10635_2017,"60630, 12376, 99894, 91216, 35669, 38610, 19544, 27509, 84746"
10636_2017,"04248, 28025, 63682"
10637_2017,"52731, 04356, 59641, 79001, 24995, 64380"
10638_2017,"82792, 51031, 15047, 88834, 93386, 15014, 52040, 31060"
10639_2017,"46396, 06399, 88545"
10640_2017,"84005, 57832, 54880, 54287, 43193, 74627, 04499, 01340, 20532"
10641_2017,61897
10642_2017,"41574, 13205, 70675, 42936"
10643_2017,"74878, 45879, 15382, 96990, 28275, 65082, 11028, 79713"
10644_2017,"78189, 08943, 37578, 72544, 51521, 36140, 05178, 47993"
10645_2017,"83920, 26278, 34580, 58354, 58336, 83095, 99775"
10646_2017,"56970, 48719"
10647_2017,"56551, 66572"
10648_2017,18323
10649_2017,"58568, 69434"
10650_2017,"81651, 11489, 76305, 17069, 73499, 96337, 88820, 46238, 04719, 04476"
10651_2017,"72364, 42318, 97329, 44035, 40050, 72660, 12515, 78905"
10652_2017,"06156, 88842, 55513"
10653_2017,85901
10654_2017,"53361, 43446, 73138, 93124, 09024, 59769, 18467"
10655_2017,"17855, 43700, 40609, 99589, 92247, 21265, 88962, 42286, 78997"
10656_2017,"84062, 93482, 52790, 94031, 02606, 18241"
10657_2017,"97044, 17840, 34880, 01038, 52437, 58777, 23811, 73157, 39816"
10658_2017,91544
10659_2017,"22875, 69236, 13199, 43801, 01028, 47160, 86711"
10660_2017,86617
10661_2017,"91506, 36022, 04079, 37572"
10662_2017,"62946, 55250, 39081, 75443, 47512, 23960"
10663_2017,"50641, 26513, 55379, 90997, 17216, 05640, 36976, 62762, 24026"
10664_2017,27131
10665_2017,"56422, 84389, 18540, 55387, 73122, 61124"
10666_2017,"75905, 01072, 22857, 35214, 92548"
10667_2017,"92886, 45228, 43249, 48574, 95669, 42212"
10668_2017,"52597, 53070, 94546, 28114, 59731"
10669_2017,"33567, 40441, 75970, 86499, 26859"
10670_2017,"75571, 56159, 71815"
10671_2017,"26792, 28113, 78068, 47771, 78002, 29999, 81692, 43742, 83766, 50147"
10672_2017,"14373, 06599, 66564, 78877, 53196, 74435, 52560, 54735, 44708"
10673_2017,"79259, 15148, 52809, 48634, 16877"
10674_2017,"56242, 77313, 81221"
10675_2017,"60521, 33792, 74573, 29558, 76754, 71897"
10676_2017,"67233, 19850, 14398, 37964"
10677_2017,"20702, 90161, 91845"
10678_2017,52981
10679_2017,"63789, 78891, 58077, 97586, 79530, 24046, 43155, 70221"
10680_2017,"44011, 73473, 37549, 56238, 49002, 60739, 50083, 60746, 91911"
10681_2017,"40431, 30301, 51551, 18340, 62171, 35617, 13150, 92613"
10682_2017,"22120, 71147, 09526, 91657"
10683_2017,"38204, 01072, 41906, 72676, 83602"
10684_2017,"18400, 11019, 83338, 98252, 03854, 19368, 04403, 98044"
10685_2017,"58920, 76919, 54695, 89317, 37810, 05881"
10686_2017,"33439, 21786, 82520, 38291, 09579, 02920, 99382, 59129"
10687_2017,"49870, 58175, 06107, 73937"
10688_2017,"06299, 67459, 55777, 00701, 92909, 34263, 70183, 35882"
10689_2017,"02057, 78926"
10690_2017,"19975, 27782, 83094"
10691_2017,"25220, 88940, 46527, 50158, 80987, 06959, 29377"
10692_2017,"81366, 57815, 35303, 63057, 58625"
10693_2017,"11546, 53120, 35166, 17205, 94681, 40129, 76485, 57355, 65864, 46097"
10694_2017,90832
10695_2017,10319
10696_2017,"63374, 69178, 44763, 85396, 30759"
10697_2017,"19019, 81474, 75305, 74492"
10698_2017,56933
10699_2017,"96655, 13549, 50802, 50069"
10700_2017,"48711, 19173"
10701_2017,"60570, 38242"
10702_2017,"69148, 84802"
10703_2017,"81216, 13404"
10704_2017,"41200, 71788, 90363, 39410, 31441, 87616, 54905, 63532, 26799"
10705_2017,23545
10706_2017,"39616, 78257, 58754, 65884, 83474, 63886, 97842, 24714"
10707_2017,"84638, 94662, 46725, 68286, 09722, 11993, 23947"
10708_2017,"59506, 30901, 94277, 81139, 34167, 02406, 11516, 23162"
10709_2017,"62935, 68444, 77784, 30037, 16225, 35161, 45450"
10710_2017,"78507, 53334, 39802, 39572, 94495, 63216, 58284, 51168, 88740, 90196"
10711_2017,"48630, 95134, 52952, 25671"
10712_2017,69439
10713_2017,"33907, 42350"
10714_2017,"68666, 50691, 74230, 08366, 74006, 25714"
10715_2017,"29425, 68448, 80585, 12424, 62269"
10716_2017,"15539, 09747, 20406, 30131, 04200, 33885, 03351, 22495"
10717_2017,"02257, 21354, 05981, 00869, 89094, 37102, 69199, 50358, 36525"
10718_2017,"52349, 03524, 02525"
10719_2017,"72478, 04723, 35388, 98870, 14343, 73026, 78118"
10720_2017,"64994, 72802, 39348, 07887, 27912, 91403"
10721_2017,06414
10722_2017,"40951, 18351, 96368, 91411, 33696, 87883, 82782, 63517, 69011"
10723_2017,"65718, 36977, 14057"
10724_2017,"94872, 35819, 78107, 26618, 54225, 04695, 27377, 94195, 89015"
10725_2017,"50177, 03281, 69733, 04036, 36467, 74218, 87643"
10726_2017,"87056, 80667, 71010, 51109, 73299, 90077, 66493, 45528"
10727_2017,"50892, 79628"
10728_2017,"25921, 83846"
10729_2017,"18023, 12896, 31289, 27019, 95971, 98609, 16941, 78719, 21583, 35681"
10730_2017,"21289, 26024, 15135, 37930, 86978"
10731_2017,96443
10732_2017,"37585, 20112, 63262, 16063, 13358, 57504, 47144, 07589, 09665"
10733_2017,"03879, 86404, 41323, 32641, 15856, 11321, 91132, 48865, 18253"
10734_2017,"85498, 82814, 49712, 78439, 29427, 06326"
10735_2017,"80499, 17704, 92220, 24665"
10736_2017,"72724, 48351, 84437, 07069, 17618, 91650, 04173, 86126"
10737_2017,"34330, 73562, 81778, 28261, 07823, 48622, 70462, 56373"
10738_2017,"19381, 16047, 51562, 78237, 11697, 56064, 69238, 72115, 15817, 94579"
10739_2017,00614
10740_2017,"21540, 57739, 18235, 96939, 41891, 22506, 58093, 60677"
10741_2017,"30740, 91796, 94258, 21019, 79882, 80813"
10742_2017,"30786, 90080, 16192, 00965, 78561, 65607, 28321, 62406, 20615"
10743_2017,"47737, 95591"
10744_2017,"47002, 18103, 08552, 91403, 04872"
10745_2017,"61309, 11286, 78235, 88641, 59126, 30124"
10746_2017,"01439, 60457"
10747_2017,"53531, 62913, 84869, 84765, 73776"
10748_2017,"67986, 46984, 71118, 77794, 84688, 23243, 15125"
10749_2017,"29345, 84606"
10750_2017,"76560, 98159, 03154, 05564, 29271, 29220, 43279, 29111"
10751_2017,"93911, 24869"
10752_2017,"89598, 07602, 92258, 10868, 28182, 22183, 48406, 65361"
10753_2017,"37761, 35046, 36295"
10754_2017,"87329, 99424"
10755_2017,"99268, 82169, 00657, 78196, 35486, 86782, 30297, 57676"
10756_2017,"68318, 07572"
10757_2017,"49736, 70983, 66839, 35166, 77969, 65900"
10758_2017,"25317, 40095, 72698, 26988, 18940, 81724, 89254, 24353, 71841, 14926"
10759_2017,"35756, 99111, 57874, 85068, 01858, 89930, 70600, 56266, 26913"
10760_2017,"69687, 12978, 96177, 26081, 28326"
10761_2017,"83649, 23002, 97024, 39794, 33108, 25880"
10762_2017,"14346, 69705, 60893, 62876, 09799, 99632"
10763_2017,"53618, 22221, 71538"
10764_2017,"98305, 81913, 52432, 93104, 89833, 10041, 59500, 55382, 40584"
10765_2017,"51713, 29288, 44198, 69569, 75241, 43845"
10766_2017,"95134, 39499, 11665, 97503"
10767_2017,"19828, 52613, 29348, 71404, 98287, 12928, 44003, 40819, 93439, 42914"
10768_2017,"44884, 04274, 21103, 18135, 40296, 06076, 05369"
10769_2017,"32592, 69169, 59245, 00668, 74377, 45183, 12559"
10770_2017,"13926, 33115, 67125, 40499, 57575, 90752"
10771_2017,"94827, 59573, 53822, 57321, 76233, 74577, 60401, 76987, 18428"
10772_2017,"70454, 76737, 79206, 73344, 62584, 74402"
10773_2017,"69780, 92380, 71812, 94518, 63551, 30778, 40612"
10774_2017,"92544, 05205"
10775_2017,"92792, 22648, 30093, 07663, 56200, 81373, 13070, 04925"
10776_2017,"16148, 25777, 71142, 99950, 34658, 94359, 78823"
10777_2017,"87967, 69865, 31429, 26334, 60794, 92546, 14468"
10778_2017,"64515, 65575, 67204, 27806, 91940, 21555, 96970, 38447, 42717"
10779_2017,"55271, 86037, 92759, 85552, 90608, 73884"
10780_2017,37450
10781_2017,"82151, 41590, 77246, 80642, 63303, 30370"
10782_2017,"09828, 19746, 39142, 93492, 32716, 71442, 77824"
10783_2017,"45853, 85572, 59890, 20773, 31066"
10784_2017,"03005, 87643, 89383, 37056, 11369, 81186, 72885, 77340, 06571, 23840"
10785_2017,"54825, 88760, 94045, 50399, 01593, 05871, 99390, 22974, 76456"
10786_2017,"69857, 19023, 67227, 39526, 39124, 16797, 10892, 99866, 25819"
10787_2017,"74351, 06199, 88297, 92181, 25266, 79907, 26739, 23117"
10788_2017,"24187, 98521, 05739, 14489, 64226, 55939, 97584, 43228, 75935"
10789_2017,"59508, 38232, 87693, 83807, 23232, 49010, 34213"
10790_2017,"09450, 67463, 48842"
10791_2017,"88121, 95954, 31357"
10792_2017,"87246, 07633, 27784, 68969, 11620"
10793_2017,"63715, 83447, 42068, 94998"
10794_2017,"68852, 66469, 10297, 47243, 30717, 96888, 69912, 82127, 13928, 08012"
10795_2017,"75198, 26093, 84403"
10796_2017,"50175, 83934, 16003, 94104, 48484, 42579, 01898, 31741"
10797_2017,"93470, 19555, 50160, 65079"
10798_2017,96043
10799_2017,"80935, 41442"
10800_2017,"79648, 74801, 38113, 20676, 51998, 25369, 95287, 76596, 97037"
10801_2017,"06348, 47747"
10802_2017,98517
10803_2017,"43804, 48742, 47375, 08871, 87869, 23987, 71630"
10804_2017,"73708, 40847, 85625, 74244, 27937, 32838"
10805_2017,"49907, 66603, 62039, 83838, 39407, 35901, 01687, 98465"
10806_2017,"41226, 24074, 77869, 39014"
10807_2017,"67938, 55584, 21883, 12531, 33062, 24541"
10808_2017,"10846, 23579, 55895, 51705, 42775, 05530, 94333, 79593, 97863, 08604"
10809_2017,"30578, 57746, 39130, 30878, 51990, 83273, 62977, 62877, 34864"
10810_2017,"53592, 01126, 50991, 21900, 57789"
10811_2017,"33753, 24562, 42092, 39641, 35131"
10812_2017,"30128, 30607, 10085, 03458, 47624, 37058, 09841, 85114, 01490"
10813_2017,"68932, 65974"
10814_2017,"67787, 03658, 96724, 20926, 02107, 39104, 04667"
10815_2017,"12965, 92027, 58451, 45210, 89697, 52114, 19414, 09844, 86459, 04879"
10816_2017,"39975, 93494"
10817_2017,"48244, 00576, 73786, 61788, 45195, 86223, 41836, 55652, 71211"
10818_2017,"49756, 97711, 59621, 53669, 27609, 32223, 14885, 15413"
10819_2017,"68206, 98088, 21488, 34393, 16222, 52843, 73203"
10820_2017,"29501, 04063, 20024, 16818, 54339, 94965"
10821_2017,55587
10822_2017,"11994, 01867, 92114, 51960, 33972, 45354, 60451"
10823_2017,"91997, 94917, 59410, 58807, 89791, 94942"
10824_2017,"46402, 85399, 89326, 12739, 09291, 80480, 06566, 54158, 54022, 15470"
10825_2017,"14721, 43696, 29273, 59004, 80430, 31433, 01634"
10826_2017,"61074, 09385, 62118, 33307, 27693, 18843, 78991, 93959, 29672"
10827_2017,"32475, 92016, 84206, 25772, 67414, 75608, 41449, 96667"
10828_2017,32157
10829_2017,"44804, 83887, 47936, 80837, 44196"
10830_2017,"58784, 41141, 23591, 80159"
10831_2017,"87505, 25257, 61434, 56540, 93731, 25024"
10832_2017,"32698, 45450, 35178, 07014, 07399, 81595"
10833_2017,"69925, 06613, 38499, 72416"
10834_2017,"27464, 37925, 62596, 99592, 75760"
10835_2017,"95594, 31728, 93114, 21400, 76218, 48650, 75004, 43418, 89517"
10836_2017,"85297, 57659, 18706"
10837_2017,"36988, 83955, 61517, 72681, 94498"
10838_2017,"45030, 34265, 26671, 64651, 56797, 11935, 17745"
10839_2017,"56165, 48578, 03383, 31664, 10367, 24331"
10840_2017,"60706, 69398, 05423, 90004, 82795, 72052"
10841_2017,"35312, 34954, 42986"
10842_2017,"85080, 08131, 06939, 76777, 61855, 91664"
10843_2017,"95233, 43442, 88295, 79979"
10844_2017,"07009, 06188"
10845_2017,"49393, 96076"
10846_2017,"36396, 79844, 66012, 16630, 70903, 51840, 50551, 75736, 96741, 42479"
10847_2017,"60537, 32028, 12148"
10848_2017,"55219, 30014, 58505, 15605, 46338, 14382"
10849_2017,"43079, 02926, 51851, 80583, 69921, 42909, 93688, 44191"
10850_2017,"43069, 12724, 38879, 97910, 30543, 85416, 34246, 83473"
10851_2017,"81767, 09708, 96586, 84936, 22453"
10852_2017,"11763, 08989, 62573, 74212, 54467, 44143, 82722, 02602, 08517, 07413"
10853_2017,"35728, 94407, 90007, 33380, 64729, 83309, 02808, 95628, 42727"
10854_2017,"99551, 96898, 66987, 59804, 15910, 19678, 32077"
10855_2017,"26060, 51943, 02765, 69140, 03393, 31620, 61703, 94062, 46502, 74936"
10856_2017,"25547, 06365, 41950, 81434, 86804, 82043, 89742, 46744, 74060, 06243"
10857_2017,"35696, 30238, 09867, 92250, 11711, 99428, 50391, 44316, 70203, 80370"
10858_2017,"54510, 23541, 74908, 20401, 63769, 45268, 81546"
10859_2017,"99490, 97725, 19270, 86752, 95631, 95426, 57614, 28465, 59191"
10860_2017,"23610, 07934, 62279, 72876, 97481, 37642, 30827, 17566"
10861_2017,"33056, 43528, 39398, 25823"
10862_2017,38487
10863_2017,"08193, 84315"
10864_2017,"17338, 52574, 91689, 04095, 92331"
10865_2017,"52838, 76842, 37559, 42038, 22389"
10866_2017,"89985, 59913, 46609, 44786, 22317, 58684, 10824, 58725"
10867_2017,"05492, 99855, 64892, 45657, 62419, 26964, 78360, 04969, 33209, 81632"
10868_2017,"84684, 66229, 82413"
10869_2017,"28849, 51052, 93750, 62104, 49602, 34705, 95083, 03499, 00790, 42481"
10870_2017,"64052, 05490"
10871_2017,"81529, 85035, 72479, 09238, 12277, 97194, 28711"
10872_2017,"85521, 71919, 34919, 84554, 88434, 23702, 66434"
10873_2017,"13494, 69618, 82068, 39734, 50774"
10874_2017,"15866, 79373"
10875_2017,"85147, 33266, 43366, 20664, 10783, 42698"
10876_2017,"29884, 17822, 35928, 82984, 50971, 22491, 67876, 54191, 74837, 36177"
10877_2017,"04416, 20274, 11175, 47354, 84281, 79631, 02594, 51673"
10878_2017,"50855, 33388"
10879_2017,"06198, 08282, 61327, 66303, 87678, 12388, 30902, 61420, 57902"
10880_2017,57900
10881_2017,"57896, 70665, 52675, 98768, 09702, 62145, 18004, 54903, 43222, 82879"
10882_2017,"55952, 18959, 29673"
10883_2017,"97764, 97498, 69623, 80103, 87966, 31803, 27277, 43569"
10884_2017,"23358, 93687"
10885_2017,"37727, 56356, 22850, 26546, 64684, 44622, 46885, 40021, 74887, 58653"
10886_2017,"51826, 97288, 97887"
10887_2017,"28714, 68459, 85356"
10888_2017,"20864, 89482, 75003, 84854"
10889_2017,"98357, 26364, 36485, 04000"
10890_2017,"70642, 67722, 34952, 41536, 17841, 10928, 69211"
10891_2017,"59037, 07398, 75644"
10892_2017,"88688, 01213, 60051"
10893_2017,"33377, 22387, 87293"
10894_2017,38170
10895_2017,"29795, 01999, 28339, 46721, 83364, 94421, 12646, 29540, 59631"
10896_2017,88837
10897_2017,46610
10898_2017,"12035, 17772, 52163, 06786, 71789, 62149, 12876, 69745, 03025"
10899_2017,91853
10900_2017,42709
10901_2017,"72677, 56880, 68894, 14130, 56151"
10902_2017,"82809, 86554, 05115, 87734, 34266"
10903_2017,"41550, 45594, 20811, 88526"
10904_2017,"13531, 67319, 40949, 01951, 57919, 75630, 32385, 45200, 78891"
10905_2017,"92978, 48408, 78848, 48532, 84439"
10906_2017,68207
10907_2017,"87433, 01271, 65656, 58309, 32850"
10908_2017,"01156, 55203, 41067, 02009, 96374, 56911, 71036"
10909_2017,"69386, 49352, 62029, 58169, 86383, 98809"
10910_2017,"07004, 28437, 64765, 86789, 51184, 98381, 94019, 42063"
10911_2017,10471
10912_2017,"33227, 91518"
10913_2017,"05765, 02132"
10914_2017,"55171, 67246"
10915_2017,"92254, 17831, 16233, 97600, 18021, 10417, 87398, 59075"
10916_2017,"80327, 42676, 98267, 36178, 07078, 31163, 13658, 36298, 87156"
10917_2017,"70095, 83168, 61671, 55177, 56967"
10918_2017,"75476, 48541, 13363, 51817, 04690, 49074, 83437, 22531, 77599"
10919_2017,"93969, 18011, 91836, 36957, 79752, 12130"
10920_2017,"44942, 13365, 11794, 96223, 36667, 25222, 19750"
10921_2017,"14696, 20527, 07507"
10922_2017,"48170, 84042, 74934, 40615, 24466"
10923_2017,"75964, 33516, 66172, 33954, 38965"
10924_2017,"72156, 92845, 56843, 32882, 46792, 33922, 81008, 78162"
10925_2017,40789
10926_2017,"77828, 10675, 56947, 53426"
10927_2017,"63039, 87725, 76083, 02502, 04438"
10928_2017,93953
10929_2017,"64561, 31869, 57307, 70556, 89909, 94873, 21292, 03043, 27175"
10930_2017,"24276, 98619"
10931_2017,"98870, 36261, 32180, 51267, 95797, 68500"
10932_2017,"70083, 13540, 71693, 55135, 54750, 85182"
10933_2017,"20562, 76654, 91254, 28923, 45048, 63780, 14046, 91416"
10934_2017,"23315, 70289, 12874, 76841"
10935_2017,"68144, 28105, 25714, 87017, 64817, 85875, 40365, 68666, 84910"
10936_2017,"01399, 35145, 55275, 20014"
10937_2017,10828
10938_2017,"91154, 77767, 29012, 54676, 65731, 20516, 75247, 87025, 92504, 42016"
10939_2017,"18695, 59521, 51820, 89989, 99271, 77161, 20072, 90272, 60833"
10940_2017,"86020, 74061, 87007"
10941_2017,"81145, 64130, 31386, 57410"
10942_2017,"82341, 78944, 77896, 71058, 96617, 82310, 17470, 45333, 10481"
10943_2017,"71244, 98174, 31329, 91041, 06797"
10944_2017,"47742, 43798, 68847, 39044, 62857, 13828, 31469, 44605, 74748, 20463"
10945_2017,"80309, 91703, 75976, 89853, 51044"
10946_2017,"48352, 45464, 45799, 39262, 85941, 03719, 22130"
10947_2017,"02006, 58730, 35664"
10948_2017,"82356, 97941, 67454, 57761, 53921, 56449, 76387, 66271, 11625, 56170"
10949_2017,"07395, 39172, 74948, 77316, 11394, 08343"
10950_2017,"68078, 14853, 08366, 97442, 81913, 76471, 19596"
10951_2017,77394
10952_2017,"59034, 01805, 00740, 92946, 49040"
10953_2017,"78568, 62498, 25079"
10954_2017,"47181, 59478, 34062, 44305, 41642, 06214"
10955_2017,58952
10956_2017,"61081, 51088, 83015, 47909, 65315"
